strength_of_noise,iteration,Method,avg_independent_features_statistics,min_independent_features_statistics,max_independent_features_statistics,avg_dependent_features_statistics,min_dependent_features_statistics,max_dependent_features_statistics,top3_selected_features,independent_vs_dependent_avg_statistics_diff_%
0.01,28,Pearson_Correlation_(abs),0.006351856805658295,0.0002701235364343993,0.01565520601851846,0.16834978731116523,0.005472122128095582,0.49240774059001424,"[1, 2, 5, 7, 8, 9]",2550.4
0.01,28,Mutual_Information,0.0034132477234359066,0.0,0.014280827451498723,0.5516281184345774,0.0,1.6548843553037322,"[3, 4, 6, 8, 9]",16061.39
0.01,28,Distance_Correlation,0.016406873044653554,0.011860764047274014,0.021596626153547925,0.17417953993901705,0.015597253068499113,0.49113319687979273,"[2, 6, 7, 8, 9]",961.63
0.01,28,Proposed_Method,0.08426262551744831,0.08292517819320168,0.08547009166450709,0.13672054045928725,0.12988620201539278,0.14172221401513396,"[7, 8, 9]",62.26
0.01,29,Pearson_Correlation_(abs),0.00869786633006944,0.0006209450809283691,0.023906344577439967,0.17992951855129125,0.011685215882256683,0.5113674890558388,"[0, 4, 6, 8, 9]",1968.66
0.01,29,Mutual_Information,0.0026784144795458814,0.0,0.013505986773751921,0.5697029808098616,0.0005243495304805279,1.704467123504931,"[0, 1, 2, 8, 9]",21170.16
0.01,29,Distance_Correlation,0.017440698816207852,0.013401550050891671,0.025998400768926632,0.17970888375042424,0.016571229995416194,0.5043999905497489,"[0, 3, 4, 7, 8, 9]",930.4
0.01,29,Proposed_Method,0.08601336000988412,0.08532874403773684,0.08655812507670486,0.13263549331027044,0.12557261850628584,0.13670802997783132,"[7, 8, 9]",54.2
0.01,30,Pearson_Correlation_(abs),0.008773186692450401,0.0006491509529080804,0.023283110745299058,0.17440469602484157,0.00044894734643682296,0.5168387815959139,"[0, 2, 3, 7, 8, 9]",1887.93
0.01,30,Mutual_Information,0.0022705677483197484,0.0,0.011753289682863155,0.5760895954404021,0.011901851269396246,1.7027328854893247,"[7, 8, 9]",25272.05
0.01,30,Distance_Correlation,0.01700901516251672,0.011913701493051094,0.027203106315031277,0.18479778155651552,0.016661853701790668,0.5206611752777361,"[0, 2, 3, 7, 8, 9]",986.47
0.01,30,Proposed_Method,0.08236037015231655,0.08133073222933415,0.08366972139660467,0.1411591363112614,0.1318337009418913,0.14801717855509056,"[7, 8, 9]",71.39
0.01,31,Pearson_Correlation_(abs),0.008512810479189963,0.0003951330211093794,0.030520137547215442,0.17053341050405804,0.008299662881087898,0.4940828242776751,"[3, 5, 8, 9]",1903.26
0.01,31,Mutual_Information,0.0035078282049640494,0.0,0.016140472807790296,0.5399338277316197,0.0,1.619801483194859,"[5, 6, 7, 8, 9]",15292.25
0.01,31,Distance_Correlation,0.01760801496683247,0.011863288408594127,0.03412918149587878,0.17702563557209317,0.016398789294610708,0.4963678878690642,"[0, 3, 8, 9]",905.37
0.01,31,Proposed_Method,0.08004355554754679,0.07848350607822055,0.08197858138806907,0.14656503705572418,0.14320802068439947,0.14979668919122308,"[7, 8, 9]",83.11
0.01,32,Pearson_Correlation_(abs),0.005999766685873857,0.00018595421465089152,0.030388000131392725,0.17698352612271742,0.0065475956168339604,0.5165112174923665,"[0, 5, 6, 7, 8, 9]",2849.84
0.01,32,Mutual_Information,0.0025216676016837397,0.0,0.02177514859752616,0.5655869271402914,0.0,1.696760781420874,"[3, 4, 5, 7, 8, 9]",22329.08
